unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
57,The Starry Night,7,"This piece makes me feel a sense of wonder. The ""starry skies"" feel like a cosmic storm, some other awe-inspiring event. But the perspective, behind away from the town, on some hill alone also invokes a sense of solitude and loneliness. ",4 - Agree,5 - Strongly agree,4 - Agree,3 - Neutral/Unsure,3,3,$150. ,"Office,Living room","Friends,Family members,By yourself","Summer,Winter",Like a blue ice cream. Maybe some gelato or soft serve to emphasize the swirls. ,Some orchestral beat to that begins low and slowly gains tempo of volume. 
57,The Water Lily Pond,3,"Makes me feel very calm, like a meditative piece. A sense of serenity. ",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,90,"Bedroom,Living room","Friends,Family members,By yourself","Spring,Summer","some fruit, like a watermelon. ",A meditative soundtrack. Like a solo harp or piano.
58,The Persistence of Memory,6,Like I am melting.,4 - Agree,3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,6,5,3000,"Bedroom,Bathroom,Office,Living room,Dining room","Family members,By yourself",Fall,"cheese, maybe in a cheese board",a semi-constant ticking with background nature white noise
58,The Starry Night,5,Melancholic.,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,3,3,6000,"Bedroom,Living room","Friends,By yourself",Winter,Soup,"Mozart/classical music, orchestra"
58,The Water Lily Pond,3,serene,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,2000,"Bedroom,Office,Living room","Family members,By yourself",Spring,Lotus Root Soup,nature sounds. maybe a canoe paddle splashing.
59,The Persistence of Memory,7,"Melancholic, Lonely, Abandoned, Pensiveness",5 - Strongly agree,3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,4,6,"$10,000,000",Living room,By yourself,Winter,Shepherd's Pie,"Something out of a Christopher Nolan movie. Long, steady, sombre notes."
59,The Starry Night,10,"Wonder, Awe, Amazement, Joy",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,2,"$50,000,000","Living room,Dining room","Friends,Family members","Fall,Winter",Dark Chocolate Truffle,"A piece of music by Tchaikovsky such as Swan Lake or the Nutcracker. Full of wonder, awe, beauty, and emotion."
59,The Water Lily Pond,8,"Peaceful, Happy, Calm, Tranquility",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,"$20,000,000","Living room,Dining room","Friends,Family members","Spring,Summer",Wedding Cake,"Calming, pretty piano music. Perhaps Debussy or Ravel."
60,The Persistence of Memory,5,"This painting confuses me. I don’t usually associate the concept of time with a shoreline, as the two ideas feel quite contrasting. The shoreline suggests something natural and constant, while the clocks are ""droopy"" and create a sense of distortion. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,11,12,20,Office,"Strangers,By yourself",Fall,Popeyes ,"The soundtrack will be a slow, love song. Time at the beach alone with another."
60,The Starry Night,8,"It makes me feel as though time has stopped. Everything seems to be flowing, yet frozen at the same moment, creating a strange mix of movement and stillness.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,5,4,100,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,blueberry cheesecake swirly design,funky and slow beat music
60,The Water Lily Pond,2,"This just makes me feel calm, as with one with nature. ",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,5,Office,By yourself,"Spring,Summer",watermelon,calm country slow music 
61,The Persistence of Memory,7,"The painting makes me feel desperate, like I'm running out of time or that everything is on the verge of being lost. It's unsettling and somewhat confusing. There seems to be hope on the horizon but it's far and slipping away.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,5,$10000?,"Office,Living room","Friends,By yourself","Fall,Winter",Cold spaghetti.,"Sombre music, slightly fast tempo, a feeling of dread. "
61,The Starry Night,6,"Makes me feel wistful, hopeful, nostalgic. It makes me feel cold but comforted.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,5,$10000?,"Bedroom,Living room","Friends,Strangers","Summer,Winter",Marshmallows.,"Soft piano, violins, dramatic crescendos. Something calm and meandering."
61,The Water Lily Pond,7,"The painting makes me feel carefree, safe, and grateful. It feels like there is nothing to worry about, no stress.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,"$20,000","Bedroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Jasmine tea.,"Acoustic guitar, something happy in a major key."
62,The Persistence of Memory,4,"It makes me feel a bit somber, calm, and nostalgic.",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,4,6,5000,Dining room,By yourself,Fall,Pear,"It would include like an acoustic guitar and a simple, slow, calm melody. Similar to like latin music. "
62,The Starry Night,6,This painting makes me feel a bit melancholic and emotinal,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,3,3,4500,Office,By yourself,Winter,Blueberry pie,It would be a slow song played mostly with a low electro guitar beat and bass.
62,The Water Lily Pond,4,"It makes me feel joyful, peaceful, and happy.",2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,1,3000,Living room,Friends,Spring,Apple pie,"It woul be an upbeat, happy folk song with flutes in it."
63,The Persistence of Memory,7,"This painting makes me feel the fluidity of time, which in turn makes me feel a sense of existential dread. Overall, this painting makes me feel somewhat uncomfortable.",4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,7,4,"$80,000","Office,Dining room",By yourself,Fall,"A piece of speck that has been left outside of it's packaging for 2 days, making it more dry.","A piano composition that is very quiet, lowkey and elegant but composed in such a way that it feels uncomfortable and anxious to listen to."
63,The Starry Night,8,"This painting makes me understand the eccentric side of art. I feel all knowing, connected with the skies and see patterns in the natural world better.",2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,4,3,"$40,000,000","Bedroom,Living room","Strangers,By yourself",Spring,"A sponge cake covered with subtle and not too sweet white frosting, topped with canned peaches, blue berries, kiwi, and a singular maraschino cherry.","A church organ that is very loud, unstable, and changes notes very frequently."
63,The Water Lily Pond,7,"This painting makes me feel calm, tranquil, at peace and free of worries. I do not feel any pressure and I see life as a beautiful, yet calm, symphony of nature.",4 - Agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,6,3,"$200,000","Bedroom,Bathroom","Strangers,By yourself",Summer,"A simple German strudel with powdered sugar and whipped cream, served with strawberries and blueberries. ","A singular violin track that is very calm, has deep and not sharp notes, and perfect for listening to for falling asleep and studying."
64,The Persistence of Memory,5,I feel the painting illustrates the passage of time and the inevitable change it brings. This is demonstrated with the clocks melting overtime.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,6,200,Bedroom,"Family members,By yourself",Fall,Chocolate,"The sound track would have violin and piano, with long notes that fade out."
64,The Starry Night,6,"It makes me feel somber and calm, with nostalgia.",5 - Strongly agree,4 - Agree,4 - Agree,1 - Strongly disagree,3,4,500,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers","Spring,Winter",A warm bowl of potato soup.,"It would have a slow melody, with flutes, piano, and string instruments."
64,The Water Lily Pond,3,It doesn't really make me feel anything. It is like a normal view.,3 - Neutral/Unsure,4 - Agree,4 - Agree,1 - Strongly disagree,2,2,100,"Office,Living room","Coworkers/Classmates,Strangers","Spring,Summer","A salad with lettuce, tomatoes, and other greens.",It would be an upbeat with vocals and casual tones.
65,The Persistence of Memory,4,"This painting made me feel unrealistic, a little bit of conflict between chaos and peace.",2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,5,4,10,"Bedroom,Living room","Strangers,By yourself",Fall,A desert made of drinks like cocktail.,clock ticking with a little breeze in the background.
65,The Starry Night,7,Feel dreamy.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,4,4,10000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,A cocktail,Summer night with bugs and birds making noise.
65,The Water Lily Pond,8,Warm Intense and optimistic.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,500,"Bedroom,Office,Living room","Friends,Family members,By yourself",Spring,Fried Broccoli,"Birds, kids, butterflies sound."
66,The Persistence of Memory,3,"It is odd, I feel like it is a sad picture, but I cannot understand what happened in the picture, or what the message artist would like to tell us.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,12,6,0. I feel bad when I look at this picture. I have no reason to buy it.,Bathroom,By yourself,Winter,shawarma,"The music ""Memories"", in the movie Top Gun (1986), when Goose dies.

It is not very sad, but a bit sad desolate, and the picture and the music makes me reflect on memories, and regret on past things,  that you can't go back."
66,The Starry Night,4,"It makes me feel it is a clear night sky, and it makes me feel comfortable sleeping on my bed when looking at the sky",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,5,"If it is not the real one, it is a copy from a artist, 50 CAD.","Bedroom,Living room","Friends,Family members","Spring,Summer,Winter",Sushi,"A music for ballroom dance, elegant, but not a romantic one."
66,The Water Lily Pond,6,"Feel I am having a leisure walk in the park, calm",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,50,"Bedroom,Living room,Dining room","Family members,Coworkers/Classmates",Spring,Caesar Salad,"light music, calm, bright, not deep, not bass"
67,The Persistence of Memory,8,It provokes a daunting feeling in me. The unchanged solid landscape is juxtaposed with the melting clocks. Almost like that time is moving so fast it has melted but nothing has really changed. It reminds me of my own mortality and that the natural world does not care about our measures of time. Once our time is up the world does not relent.,5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,3,6,500,Living room,"Friends,By yourself",Fall,beef wellington,"A slow strumming of guitar. The vocalist, if there is one, has a mournful tone to their lyrics. The distant playing of drums. And at the end all the instruments start to fade."
67,The Starry Night,7,A longing for something. A yearning for change. Seeing the beauty in something no one else can see.,2 - Disagree,4 - Agree,2 - Disagree,2 - Disagree,3,3,350,"Bedroom,Office,Dining room","Family members,By yourself",Summer,rare steak ,"cool jazz or dark jazz. something mysterious mystical, lovecraftian."
67,The Water Lily Pond,9,real happy and serene. I feel like I can smell the fresh flowers. ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,4,350,"Bedroom,Bathroom,Office","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,a nice fresh salad paired with rose wine.,a love song. Very upbeat and the lyrics are sweet and cute. 
68,The Persistence of Memory,8,It makes me feel lonely and sad.,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,5,7,2000,Office,By yourself,Fall,Pizza,sad and dreary
68,The Starry Night,10,Impressive,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,3,4,100000,Living room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Sushi,Magical
68,The Water Lily Pond,6,Comfortable,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,3,1000,"Bedroom,Bathroom,Living room","Friends,Family members",Summer,Osmanthus sugar lotus root,Joyful
69,The Persistence of Memory,8,"The painting makes me feel that time is fading, and there's no hope left for the living species on earth since the horse (is it?) is almost dying. The clock, lying like a lump of mud on the table and hanging on a tree branch like a bathrobe, makes me feel that time already lost its meaning in this space. The empty space and dark colors made me feel oppressed. At the same time, the messy lines made me feel disordered.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,4,6000000,Living room,Friends,Fall,Crab.,"An indescribable sound of wind, accompanied by drumbeats without a fixed pattern. The deep sound of the piano is mixed with the faint sound of the violin."
69,The Starry Night,10,"I felt a nauseous sensation, like after motion sickness, accompanied by a dizziness from seeing light and shadow. However, the contrast of colors gave me a sense of peace.",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,2,5,10000000,Office,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Spring roll.,The melodious sound of the accordion mingled with the bass of the clarinet. The sound of the trombone grew louder as it approached.
69,The Water Lily Pond,3,He made me feel relaxed and calm. I felt my anxiety disappear.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,2,60000000,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Spring,Poke.,"Melodious sound from violine, accomanied by piano, with a little percenatege of chello. "
70,The Persistence of Memory,8,"This picture makes me feel uneasy but also reflective. The melting clocks make time feel strange and unreliable, and the empty landscape feels sad and lonely. It's like telling us to beware that time is always ticking.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,6,6,5,Bathroom,"Friends,Coworkers/Classmates,By yourself",Fall,Fried rice,"I imagine slow, echoing sounds with stretched notes and long pauses. The music would feel mellow and slightly unsettling, as if time is moving oddly and everything is suspended."
70,The Starry Night,7,"It gives me mixed feelings because it’s really beautiful, with bright colors and the spiral, but at the same time it feels a bit confusing and overwhelming. The swirling shapes make everything feel restless, like there’s a lot of emotion happening at once, which makes it interesting but also slightly disturbing.",3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4,3,10,"Bedroom,Living room","Friends,Family members","Summer,Winter",blueberry cheesecake,"music that feels flowy and emotional, with a sudden build up and then calm down. It would feel dramatic but also kind of peaceful at times."
70,The Water Lily Pond,5,"This painting makes me feel calm and relaxed. The soft colors and gentle reflections feel peaceful, like a quiet moment where everything slows down. It gives a soothing, comforting feeling and makes me want to just pause and enjoy the stillness.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,6,2,20,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Vanilla and Strawberry ice cream,"it starts with a bird chirping sounds and then continue with a soft, slow music with gentle, flowing sounds that repeat calmly. It would feel peaceful and soothing, with a steady rhythm that helps you relax and breathe, like everything is moving quietly and smoothly."
71,The Persistence of Memory,6,eerie,4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,4,6,10,"Office,Living room",By yourself,Summer,octopus,"slow, soft, sombre style"
71,The Starry Night,9,Mystical,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,20,"Bedroom,Living room,Dining room","Family members,Strangers,By yourself",Winter,sushi,slow and calm.
71,The Water Lily Pond,3,"Content, comfortable.",1 - Strongly disagree,5 - Strongly agree,3 - Neutral/Unsure,2 - Disagree,1,1,20,"Bedroom,Living room,Dining room","Friends,Family members",Spring,tiramisu,"fast, but soft. "
72,The Persistence of Memory,8,This painting makes me feel calm.,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,4,5,I would pay 1000 dollars,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",a pizza,A calm sountrack with a relaxing and laze inducing melody 
72,The Starry Night,9,Mesmorized and in awe. Also calm.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,3,I would pay 2000 dollars ,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",A smoothie bowl.,The soundtrack would be mesmorizing with a piano melody.
72,The Water Lily Pond,5,"Happy, relaxed, and pleased.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,1,2,2000 dollars.,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,A happy and relaxing melody with nature sounds.
73,The Persistence of Memory,5,Surreal and sluggish as if everything is melting and slowing down,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,7,7,10000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Fall,melted cheese,slow and slurry bass sounds with irregular rhythm
73,The Starry Night,5,surreal and cold like in a dream,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4,4,10000000,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer",ice cream,soft and crisp high pitch sounds with slightly irregular rhythm
73,The Water Lily Pond,7,peaceful and serene,2 - Disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,3,10000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer",salad,soft and light melody with clear rhythm
74,The Persistence of Memory,8,"I feel a sense of quiet isolation. The vast, empty landscape and the stillness of the water create a very calm atmosphere, despite the strange objects. It makes me feel lonely, as if I am the only person left in a world where time has stopped moving.",1 - Strongly disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,14,10,30000000,Office,"Friends,By yourself",Fall,noodle,"A very low-pitched voice, with a hollow quality. At the same time, the sound is sluggish."
74,The Starry Night,9,"This painting makes me feel a sense of wonder and calm. The swirling patterns in the sky look like a dream, and the bright yellow stars provide a comforting glow against the deep blue night. It feels like looking out a window into a magical world where everything is alive and moving.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,13,14,30000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Winter,a cold soup,"There is a kind of ethereal silence, dreamlike, while also being slow and calm."
74,The Water Lily Pond,8,"I feel a sense of harmony and freshness when looking at this. The way the bridge gently arches over the water connects the viewer to the scene, making it feel welcoming. It reminds me of a cool summer day, evoking a feeling of balance between nature and structure.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,20,4,400000000,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,a salad with great sauce,"The music would be a shimmering, ambient composition with plenty of reverb. It would feel cool and refreshing, with notes that blend into one another without distinct edges. The melody would feel suspended in time, drifting aimlessly but harmoniously, creating a sense of depth and reflection that feels both bright and quiet at the same time."
75,The Persistence of Memory,9,"weird, not sure what meaning does it want to convey, terrible, distortion.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,8,0,Living room,By yourself,Winter,Ginger,"The metallic sound mingled with coldness, distortion, dissonance, and emptiness."
75,The Starry Night,7,Melancholy,4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,3,4,40,"Bedroom,Office","Friends,Coworkers/Classmates,By yourself",Summer,Blueberry,"The persistent unease mingled with tranquility gradually softened, like a summer night."
75,The Water Lily Pond,5,"Joyful, midsummer, sweet.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,50,"Bedroom,Office,Living room","Friends,Family members,By yourself","Spring,Summer",Matcha Yuzu Mille-Feuille,"Gentle piano chords unfold slowly, like drawn-out breaths. Low strings provide a sustained foundation, almost rhythmless, merely flowing steadily. The overall volume remains restrained and gentle, without climaxes."
76,The Persistence of Memory,9,"This painting makes me feel sad, clocks usually represent time, and it looks like the time is ending. It seems tired and sad.",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4,4,"I would pay 10,000 CAD for that painting.",Living room,"Friends,Coworkers/Classmates",Fall,Like a burnt soup.,It must be a slow pace soundtrack and deep.
76,The Starry Night,7,This painting also makes me sad but somehow calm and hopeful. Like there is something more than the sky.,4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,3,3,"I would pay 10,000 CAD for this painting.","Bedroom,Living room","Friends,Family members,Coworkers/Classmates",Winter,Like a warm soup after a cold winter.,Also a slow soundtrack with some high pitch sounds.
76,The Water Lily Pond,7,It makes me feel calm and relaxed.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,2,"I would pay 7,000 CAD for this painting.","Office,Living room",Friends,Spring,It will be a sandwich and snacks.,"it has a more fast pace, cute, and relaxing soundtrack."
77,The Persistence of Memory,7,Time is wasted,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,4,4,15,Bathroom,By yourself,Fall,Apple,Instrumental
77,The Starry Night,8,Sleepy,4 - Agree,4 - Agree,5 - Strongly agree,2 - Disagree,4,3,100,Bedroom,By yourself,Summer,Pasta,Looping
77,The Water Lily Pond,7,Joyful,2 - Disagree,5 - Strongly agree,4 - Agree,2 - Disagree,2,1,30,Dining room,Friends,Spring,Ice cream,bouncy
78,The Persistence of Memory,7,It makes me feel warm and sad. Because the light seems warm but the melting clocks and shadow(darkness) seems a bit cold and sad.,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,5,9,"$10,000",Office,By yourself,Winter,Iced American a little while ago,"Sam Smith – Too Good at Goodbyes

 "
78,The Starry Night,9,So sad and gloomy and lonely,5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,22,"$100,000","Bedroom,Office,Living room","Family members,Coworkers/Classmates,By yourself","Summer,Winter",Poutine,Mia & Sebastian's Theme (Late For The Date)
78,The Water Lily Pond,9,Calm and chill and peaceful,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,8,1,"$100,000","Bedroom,Bathroom,Dining room","Friends,Family members,By yourself",Spring,Chicken,"Piano Sonata No.16 in C major, K.545"
79,The Persistence of Memory,7,"This painting makes me feel calm and uneasy, it let me feel the time is going through anywhere. The distort clock let me rethink the meaning of time differs from people to people.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4 - Agree,3,5,1000000$,Office,By yourself,Fall,wine.,"The soundtrack will be peaceful, but we will be able to hear the rhythm like time passing, which like going through thousands of years."
79,The Starry Night,5,"This painting makes me feel peaceful and relax, let me imagine enjoy such a beautiful view .",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,5,20,1000000$,Bedroom,Family members,Summer,strawberry,"The soundtrack will be mystery and peaceful, we will hear some tickle voice to simulate that scene."
79,The Water Lily Pond,3,"Make me feel nice and refresh, light after seeing that beautiful spring scene.",1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,4,3,200000$,Living room,"Friends,Family members",Spring,oilseed rape,"The soundtrack will be bright and engaging, with a rhythm of fast pace, make me feel positive"
80,The Persistence of Memory,9,"sad 

tired 

feels depressing and lonely 

hopeless

running out of time 

no hope left",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,$50,"Bathroom,Office,Living room,Dining room","Strangers,By yourself","Fall,Winter",burnt toast,"very sad and melancholic 

slow tempo with violins playing sadly in background 

womp womp"
80,The Starry Night,5,"very whimsical 

happy 

carefree

calm 

peaceful 

quiet",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,"$1,000","Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",donut ,"upbeat with calmer intermissions 

something that's constantly moving and swirling "
80,The Water Lily Pond,2,very calm and peaceful ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,"$1,000","Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",matcha macaron ,"studio ghibli 

something very whimsical, calm but positive "
81,The Persistence of Memory,6,makes me feel uncomfortable knowing that time is passing. ,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3,5,200 CAD,"Office,Living room",By yourself,Summer,spaghetti,A tame impala album
81,The Starry Night,8,sad but happy that the day is ending ,5 - Strongly agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,500 CAD,"Bedroom,Living room",By yourself,"Spring,Fall",a warm soup,Snooze by SZA
81,The Water Lily Pond,7,happy ,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,1,300 CAD,"Office,Living room","Friends,Family members","Spring,Summer",burger,upbeat
82,The Persistence of Memory,6,"This painting makes me feel a little confused, but also quiet and calm. The melting clocks make time feel strange and unreal, like it doesn’t follow normal rules. The empty background feels lonely, which makes me think about time passing and how memories can fade. Overall, it feels like a dream that is slow and silent.",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,5,10,Office,By yourself,Fall,A piece of pizza left out too long.,"The soundtrack would be slow and very quiet, with long pauses between sounds. Soft, stretched notes would drift in and out, like they’re bending and fading before fully settling. The tempo would feel uncertain, never quite steady, making it hard to tell where one moment ends and the next begins."
82,The Starry Night,9,"This painting feels like a wonderful summer night. It makes me imagine standing outside under the night sky, feeling comfortable and peaceful. I would remember important moments from my life and think about memories that matter to me while enjoying the quiet beauty of the night.",3 - Neutral/Unsure,5 - Strongly agree,4 - Agree,2 - Disagree,4,3,500,Bedroom,By yourself,Summer,A blueberry pie with vanilla ice cream.,"The soundtrack would be gentle and flowing, with a slow rhythm that feels calm and comfortable. Soft, rising sounds would move in smooth waves, creating a peaceful and dreamy mood. Now and then, brighter tones would appear, adding warmth and hope.

The music would feel quiet but emotional, like something you listen to late at night when you are thinking about memories and important moments in your life. It would be soothing, thoughtful, and magical."
82,The Water Lily Pond,10,"This painting makes me feel like it is spring, a season when everything becomes active again. The colors feel fresh and bright, as if nature is waking up after a long rest. It gives the feeling of new beginnings, growth, and renewal. The scene feels calm but also full of life, making me think about how everything is slowly being reborn and moving forward.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,4,500,Living room,Friends,Spring,A fresh spring salad with fruit and light dressing.,"The soundtrack would be light and flowing, with gentle, repeating melodies that feel fresh and alive. Brighter tones would slowly rise and fall, giving a sense of energy and renewal. The music would feel relaxing but full of life, like a quiet moment in spring when everything is growing and moving again. It would be smooth, warm, and hopeful."
83,The Persistence of Memory,8,It makes me feel uneasy and disoriented. It depresses me. ,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,3,3,"1,000",Living room,By yourself,"Fall,Winter",A cold and tasteless soup,"A slow and calm music, yet there's sadness or darkness in it. It gives the listener uneasiness. "
83,The Starry Night,10,"It gives me mixed feelings. The painting mesmerizes me and makes me in awe of its beauty. However, there's an unexplainable sadness about it. ",4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,2,2,"1,000,000","Bedroom,Living room",By yourself,"Spring,Fall",Pasta,"An orchestra playing a calm melody, but there's something mysterious about it. "
83,The Water Lily Pond,8,It makes me happy and feel beautiful. It gives calmness and peace. ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,"5,000,000","Bedroom,Living room,Dining room","Friends,Family members,Strangers,By yourself","Spring,Summer",A fruit cake,"A happy and calming melody. It's slightly upbeat, but not that much that it will give you too much energy. "
84,The Persistence of Memory,5,this painting makes me feel like time is a warped concept as per the warped clocks.,3 - Neutral/Unsure,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2,5,100,Living room,Friends,Fall,carrot,smooth jazz
84,The Starry Night,7,"sad, sorrow",3 - Neutral/Unsure,2 - Disagree,4 - Agree,2 - Disagree,2,2,100,Dining room,"Strangers,By yourself","Fall,Winter",blueberry,sad melody
84,The Water Lily Pond,7,"happy, at peace",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,1,1,20,"Bathroom,Living room","Friends,Coworkers/Classmates",Summer,cheesecake ,happy instrumental melody
85,The Persistence of Memory,7,The colors chosen in this painting makes me feel dull and a little uneasy.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,1,4,2500,"Office,Living room","Coworkers/Classmates,By yourself",Fall,soup,"The soundtrack is a slow-burning, mix of soft strings and pulsing synths that creates a suspenseful, haunting mood."
